Services sector,Employment,Energy,Materials,Rent,Services
 Accommodations Services,0.0,0.6760000000000002,1.3689599999999997,0.0,0.0
 Business Services,0.0,5.52992,17.949479999999998,0.0,0.0
 Food & Beverage Services,0.0,0.9645700000000001,4.555560000000001,0.0,0.0
 Health Services,0.0,0.39128,3.3284399999999996,0.0,0.0
 Information & Communications Services,0.0,1.1425500000000002,13.601280000000001,0.0,0.0
" Recreation, Community & Personal Services",0.0,1.9312299999999998,9.1758,0.0,0.0
 Retail Trade,0.0,1.06472,39.165960000000005,0.0,0.0
 Transport & Storage Services,0.0,116.79984,10.30872,0.0,0.0
 Wholesale Trade,0.0,50.432759999999995,2585.8712399999995,0.0,0.0
