Services sector,Employment,Energy,Materials,Rent,Services
 Accommodations Services,1597.7,251.0,1140.8,591.8,1417.7
 Business Services,26812.7,2579.4,14957.9,2653.8,66862.1
 Food & Beverage Services,2993.4,373.8,3796.3,1709.1,1261.6
 Health Services,7096.9,145.49999999999997,2773.7,639.8,3750.0
 Information & Communications Services,9560.1,455.8,11334.4,918.8,32607.4
" Recreation, Community & Personal Services",19683.2,721.8,7646.5,1975.0,11367.400000000001
 Retail Trade,4348.3,461.09999999999997,32638.3,4244.1,2812.7999999999997
 Transport & Storage Services,12068.5,63339.2,8590.6,1570.2,20023.899999999998
 Wholesale Trade,22045.4,27864.5,2154892.6999999997,4230.6,50760.3
