Services sector,Employment,Energy,Materials,Rent,Services
 Accommodations Services,0.0,0.61129,1.4108399999999999,0.0,0.0
 Business Services,0.0,3.86867,20.2656,0.0,0.0
 Food & Beverage Services,0.0,0.9313600000000002,4.54092,0.0,0.0
 Health Services,0.0,0.3513,3.57684,0.0,0.0
 Information & Communications Services,0.0,1.2123900000000003,14.381279999999999,0.0,0.0
" Recreation, Community & Personal Services",0.0,1.7482800000000003,9.751199999999999,0.0,0.0
 Retail Trade,0.0,0.95559,40.62816,0.0,0.0
 Transport & Storage Services,0.0,111.39387000000002,10.884239999999998,0.0,0.0
 Wholesale Trade,0.0,46.349880000000006,2462.92764,0.0,0.0
