Services sector,Employment,Energy,Materials,Rent,Services
 Accommodations Services,1687.1,214.20000000000002,1266.5,595.6,1548.0
 Business Services,29904.1,2193.6,16951.9,2867.1,72066.0
 Food & Beverage Services,3121.6,349.5,3728.1000000000004,2004.8,1325.1999999999998
 Health Services,8089.5,124.5,3179.4,686.7,4267.6
 Information & Communications Services,10926.7,450.1,12403.4,1140.3,46104.1
" Recreation, Community & Personal Services",22189.0,633.4000000000001,8404.2,2206.7,12068.5
 Retail Trade,4726.7,423.29999999999995,33653.4,4359.6,3159.2
 Transport & Storage Services,13443.1,69408.5,9214.4,1734.8,21356.399999999998
 Wholesale Trade,23378.4,28285.9,2517974.6,4646.9,54724.799999999996
